"codeID","code","selfirst","seltext","selend","fileID"
52,"monitoring/reporting of schools actions",1195,"acompanhamento das ‎
escolas por meio do serviço da Superintendência Escolar",1271,11
69,"promote everyone learning",1516,"Impulsionar perspectivas efetivas de aprendizagem para todas e todos",1584,11
70,"promote social competences",1591,"Fortalecer o desenvolvimento das competências socioemocionais e das ‎
diversas aprendizagens entre pares;‎",1697,11
15,"academic achievements",1760," A avaliação diagnóstica dos componentes de Língua Portuguesa, ‎
Matemática, Física, Química, Biologia, História e Geografia é realizada no ‎
Sistema Online de Avaliação, Suporte e Acompanhamento Educacional ‎
‎(Sisedu)",1979,11
23,"free Internet access",156,"Em 2020, foram distribuídos microchips com pacote de dados móveis",221,12
13,"use of educational TV",233,"transmissão de videoaulas nos canais de TV",275,12
1,"distribute paper-based material",278,"distribuição de ‎
materiais estruturados impressos, entregues nas residências das/os alunas/os",372,12
24,"distribute equipment for teaching",376,"Para as escolas, foram entregues kits de multimídia (computadores, câmeras e ‎
tripés) para gravação de áudio e vídeo e transmissão de aulas",516,12
25,"distribute equipment for students",518,"Em 2021, foram ‎
disponibilizados dispositivos móveis (tablets) para todas/os estudantes da ‎
primeira série do ensino médio e estão sendo adquiridos mais 150 mil tablets ‎
para os demais alunas/os.‎",717,12
24,"distribute equipment for teaching",724,"Para as/os professoras/es, está em processo de aquisição (notebooks)",792,12
33,"trainning courses",152,"Para a formação continuada das/os professoras/es, são ofertados o ‎
Itinerário Formativo: Competências Digitais para a Docência, baseado na ‎
matriz de competências de professoras/es do Centro de Inovação para a ‎
Educação Brasileira (CIEB)",392,13
30,"training event",394,"a oficina de gravação de videoaulas; a oficina ‎
sobre o ensino híbrido",465,13
33,"trainning courses",546,"Para as/os coordenadoras/es escolares, tem-se o ‎
curso Fortalecimento da Atuação dos Coordenadores Escolares (FACE) no ‎
contexto do Projeto de Educação Híbrida (PEH) e, agora, a inserção da/o ‎
Agente de Gestão da Inovação Educacional (AGI) para apoiar professoras/es e ‎
gestoras/es no processo de inovação educacional.‎",869,13
57,"monitoring graduates",877,"Em 2020, foram 6.152 professoras/es inscritas/os no Itinerário ‎
Formativo: Competências Digitais para a Docência, desses, 3.598 concluíram ‎
todo o percurso formativo",1044,13
20,"monitoring subscription in training",1046,"Em 2021, a oferta formativa foi ampliada para as ‎
redes municipais de ensino do estado do Ceará, portanto, nesta formação, em ‎
andamento, constam 11.644 professoras/es das redes municipais de ensino, ‎
‎2.149 professoras/es da rede estadual e 79 AGIs",1298,13
34,"assess digital competences",1308,"A perspectiva para o desenvolvimento de competências digitais para a ‎
atuação docente também está inserida nas demais iniciativas de formação, ‎
como o FACE, já mencionado, e o Foco na Aprendizagem",1506,13
15,"academic achievements",1508,"Este último é uma ‎
ação que tem como objetivo reafirmar o cerne do trabalho pedagógico no ‎
ensino e na aprendizagem das/os estudantes, por meio das avaliações ‎
diagnóstica e formativa, articulada ao uso de material estruturado e formação ‎
de professoras/es, pautada nas seguintes premissas: equidade, ‎
descentralização e articulação curricular",1856,13
37,"use/distribution of Google products",133,"Em 2020, a Seduc-CE abriu uma Chamada Pública para a adesão de ‎
plataformas digitais ‎ a fim de estabelecer parcerias sem ônus para o Estado. ‎
Foram mobilizadas doze plataformas para apoiar as/os educadoras/es na ‎
organização das atividades domiciliares, bem como às/aos estudantes. Dentre ‎
elas, a Google for Education, com as funcionalidades G Suite for Education ‎
disponibilizadas para toda a rede estadual de ensino (alunas/os, ‎
professoras/es, servidoras/es e gestoras/es).‎",618,14
46,"develop/adaptation of learning platforms",634,"a Seduc-CE já dispõe de diferentes plataformas digitais e ‎
ambientes virtuais como: Professor On-line, Aluno On-line, Sisedu, ‎
‎#Enemnarede, ambiente virtual de aprendizagem da Coded/CED (AVACED), ‎
entre outros ambientes virtuais com repositórios didático-pedagógicos para ‎
estudantes e professoras/es na página da Coded/CED",962,14
27,"creation of management units",130,"em 2021, a Seduc-CE constituiu um Grupo de ‎
Alinhamento da Educação Híbrida (GAEH), com vistas a pensar a construção ‎
de um Projeto de Educação Híbrida (PEH) para os próximos 10 anos",314,15
4,"guidelines to remote learning",323,"O	PEH trata-se de um desdobramento do Plano Tático do ‎
Ano Letivo de 2021 como farol balizador para a inovação ‎
educacional presente como experiência idealizadora para o futuro. O ‎
referido projeto está ancorado, principalmente, no Objetivo ‎
Estratégico (OE)1: ""Implementar o Ensino Híbrido em todas as ‎
escolas do Estado"" e a serviço do alcance de diversos resultados ‎
esperados para este e outros OEs neste período.‎",747,15
72,"conceptualization of remote learning",301,"Um dos desafios ‎
que se apresenta, no atual contexto, está em ressignificar os ‎
conceitos de frequência, módulo aula e enturmação na direção da ‎
garantia de interações pedagógicas efetivas e satisfatórias, de ‎
acordo com os princípios da equidade, inclusão, descentralização e ‎
autonomia.‎",595,16
27,"creation of management units",597,"Intenta-se a construção de uma educação híbrida que envolva diversos ‎
recursos didáticos e pedagógicos para a estruturação de uma cultura ‎
educacional que fortaleça o protagonismo das/os estudantes e das/os ‎
professoras/es na perspectiva das aprendizagens colaborativas e em rede, ‎
bem como que atenda às demandas locais e globais para a educação do ‎
século XXI. Nesse sentido, justifica-se a constituição do GAEH para a ‎
formulação do PEH (2021-2031).‎",1056,16
24,"distribute equipment for teaching",106,"Distribuição de kits de multimídia (computadores, câmeras e tripés) para ‎
os estabelecimentos de ensino, a fim de possibilitar a gravação de
áudio e vídeo e transmissão de aulas",284,17
25,"distribute equipment for students",291,"Aquisição de dispositivos móveis (tablets) para estudantes da rede de ‎
ensino",369,17
24,"distribute equipment for teaching",376,"Aquisição	de	dispositivos	tecnológicos	para	professoras/es
‎(computador)",448,17
24,"distribute equipment for teaching",455,"Aquisição de equipamentos para a montagem de estúdios de gravação ‎
para a Coded/CED-Seduc, com vistas à produção de conteúdos ‎
audiovisuais didático-pedagógicos",617,17
46,"develop/adaptation of learning platforms",624,"Criação e fortalecimento das plataformas didáticas e pedagógicas da ‎
Seduc-CE (Professor On-line, Aluno On-line, Sisedu, #Enemnarede);",759,17
18,"production of learning contents",765,"Produção de conteúdos didáticos-pedagógicos pelas/os professoras/es ‎
da rede de ensino para disponibilizar em plataformas próprias da Seduc-‎
CE",910,17
34,"assess digital competences",152,"Para mobilizar as iniciativas de formação, sobretudo para o uso das ‎
tecnologias, a fim de apoiar a educação, inicialmente, a Coded/CED realizou ‎
em 2020 uma pesquisa sobre os saberes docentes no contexto do ensino ‎
remoto emergencial (ERE)",395,18
20,"monitoring subscription in training",397,"Os resultados da pesquisa demonstraram que ‎
houve uma amplitude de acesso pelas/os professoras/es, pois verificou-se a ‎
participação de aproximadamente 30,2% do total de docentes do Estado, o que ‎
corresponde a 3.623 respondentes",629,18
55,"assess media access",631,"Os dados demonstraram que cerca da ‎
metade das/os respondentes possuem recursos tecnológicos e internet para o ‎
ERE. Ademais, 30% precisam melhorar as condições de internet",805,18
34,"assess digital competences",1746,"os docentes foram mobilizadas/os a fazerem a ‎
autoavaliação	de	competências	digitais	de
	professoras/es
‎(https://guiaedutec.com.br/) como atividade da iniciativa de formação do ‎
Itinerário Formativo: Competências Digitais para a Docência. A autoavaliação ‎
foi respondida por 9.490 professoras/es da rede estadual e 5.495 ‎
professoras/es das redes municipais do Ceará",2117,18
15,"academic achievements",2127,"Há também a avaliação diagnóstica das aprendizagens das/os ‎
estudantes nas componentes de Língua Portuguesa e Matemática, desde o ‎
ano de 2019, a qual é realizada no Sistema Online de Avaliação, Suporte e ‎
Acompanhamento Educacional (Sisedu). Em 2021, ampliou-se a avaliação ‎
para as componentes de Física, Química, Biologia, História e Geografia.",2478,18
52,"monitoring/reporting of schools actions",2480,"Nesse ‎sistema, são fornecidos relatórios e dados estatísticos às escolas. Para Língua ‎
Portuguesa e Matemática, é ofertado, ainda, material estruturado de apoio ‎
pedagógico a ser utilizado pelas/os professoras/es, respeitando o protagonismo ‎
docente e o aspecto heterogêneo da rede e das escolas.‎",2781,18
27,"creation of management units",150,"A constituição de uma coordenadoria dedicada à política de formação ‎
continuada de professoras/es fortaleceu as oportunidades de ações ‎
intersetoriais e interdisciplinares.‎",325,19
34,"assess digital competences",655,"Nesse sentido, cabe destaque ao desenvolvimento de competências ‎
digitais de professoras/es, o que pode ser observado pelas evidências da ‎
avaliação de reação realizada no âmbito do Itinerário Formativo: Competências ‎
Digitais para a Docência, por meio da qual foi possível identificar, com base ‎
nas respostas de 4.515 respondentes, os dados quanto à escala ao nível ‎
ótimo, a saber: indicadores da tutoria (67% ótimo); aplicabilidade em sua área ‎
de atuação (78% ótimo); nível de atualidade (77% ótimo); nível de satisfação ‎
suas expectativas em relação ao curso (61 % ótimo) e material didático (69% ‎
ótimo).‎",1275,19
30,"training event",1451," Itinerários Formativos  ‎, com vistas a ‎
fomentar a reflexão sobre a ação didática-pedagógica no final de cada Itinerário ‎
Formativo e demais iniciativas de formação, intentando à sistematização e ‎
compartilhamento das boas práticas em publicações científicas no Seminário ‎
DoCEntes ‎ e Revista DoCEntes ‎.‎
      O referido evento é um espaço de participação e diálogo, de caráter ‎
acadêmico, cujo objetivo é proporcionar às/aos professoras/es das redes ‎
públicas de ensino estadual e municipal reflexões acerca de temas caros à ‎
educação cearense, com as temáticas: Programa de Formação Continuada de ‎
Professores - Itinerários Formativos e Foco na Aprendizagem - Língua ‎
Portuguesa e Matemática. Além disso, as apresentações relacionadas ao ‎
Projeto Professor Diretor de Turma (PPDT) e ao FACE + Rotinas Pedagógicas. ‎
O Seminário DoCEntes é destinado às/aos professoras/es e gestoras/es da ‎
rede pública de ensino, com vistas ao fortalecimento das aprendizagens entre ‎
pares.‎",2444,19
4,"guidelines to remote learning",1027,"o Programa EscoLAR foi criado com os objetivos de apoiar as escolas e os ‎
professores na continuidade do processo pedagógico, favorecer o reforço escolar e ‎
a manutenção do vínculo aluno-escola.‎",1224,20
1,"distribute paper-based material",1385,"Devido às mencionadas desigualdades de acesso e aprendizagem, a elaboração e ‎
distribuição de atividades impressas foi adotada como estratégia de inclusão de um ‎
grupo expressivo de alunos - cerca de 32% dos estudantes acessam as APNPs por ‎
via impressa. ‎",1644,20
46,"develop/adaptation of learning platforms",1712,"Site EscoLAR (contendo os documentos normativos, diretrizes ‎pedagógicas, manuais de orientação e outros)  e Portal do Sedu Digital ‎(contendo todas as plataformas e conteúdos digitais disponíveis para as ‎escolas, além de tutoriais e cenários de uso)",1963,20
3,"develop/use of learning mobile apps",2020,"Aplicativo EscoLAR com acesso patrocinado ao Google Sala de Aula, ‎videoaulas produzidas pela Sedu, boletim de notas e portal de conteúdos ‎digitais)",2169,20
31,"training groups",2179,"Comunidades interativas: criação, em 2020, de 8 comunidades interativas ‎para as escolas a fim de que os professores interajam, fomentem e ‎troquem experiências. Em 2021, já são 18 comunidades.‎",2373,20
46,"develop/adaptation of learning platforms",2381,"Portal de conteúdos pedagógicos digitais - Currículo Interativo: plataforma ‎de busca de recursos digitais de aprendizagem, em diferentes formatos. ‎Houve a publicação de 5.116 planos de aula elaborados pela Nova Escola ‎com orientações para ensino remoto, inclusive;‎",2649,20
33,"trainning courses",2783,"cursos EAD",2793,20
30,"training event",2795,"lives",2800,20
29,"training material",2804,"materiais autoinstrucionais",2831,20
24,"distribute equipment for teaching",2842,"Aquisição de notebooks e pacote de dados para professores",2899,20
68,"partnership with private institutions",2909,"Formação de profissionais da educação em ensino híbrido e produção de ‎videoaulas e animações, além de outros ofertados em parceria com a ‎Fundação Telefônica Vivo (Escolas Conectadas).‎",3095,20
4,"guidelines to remote learning",184,"   O Programa Escolar que definiu e regulamentou o trabalho remoto e ‎
híbrido nas escolas;‎",276,29
61,"training in innovative pedagogical practices",280," A apropriação tecnológica desenvolvida na rede e a aplicação de ‎
metodologias ativas.",367,29
18,"production of learning contents",368,"Surgiram muitos canais de youtube com produções ‎
próprias, assim como a criação autoral de conteúdos utilizando diversas ‎
ferramentas digitais e não mais somente o consumo de materiais prontos;‎",564,29
31,"training groups",572,"A mudança na forma como as Superintendências Regionais de Educação ‎
comunicam e capacitam as escolas de sua abrangência. Cada Regional ‎
ganhou uma comunidade para integrar suas escolas. ‎
https://sedu.es.gov.br/Not%C3%ADcia/superintendencias-regionais-de-‎
educacao-realizam-acoes-formativas e ‎
https://sedu.es.gov.br/Not%C3%ADcia/superintendencias-regionais-de-‎
educacao-realizam-acoes-formativas-nesta-quarta-feira-19 ;‎",998,29
34,"assess digital competences",1006,"O engajamento de professores com mais domínio no uso de tecnologia ‎
em ações formativas via Meet, colaborando com escolas tanto da rede ‎
estadual quanto municipais. ‎
https://sedu.es.gov.br/Not%C3%ADcia/escola-de-laranja-da-terra-realiza-‎
ciclo-de-oficinas-formativas-sobre-metodologias-de-ensino-por-meio-de-‎
ferramentas-digitais",1340,29
18,"production of learning contents",1367,"produção colaborativa de atividades inovadoras e ‎
que serviu de referência para outros: ‎
https://sedu.es.gov.br/Not%C3%ADcia/professores-de-itarana-criam-‎
sistema-digital-para-acompanhamento-das-apnps",1570,29
3,"develop/use of learning mobile apps",1649," criação ‎
do app escolar ",1675,29
23,"free Internet access",1679,"dados patrocinados",1697,29
25,"distribute equipment for students",1712,"investimento em ‎
equipamentos e pacote de dados para professores e estudantes.",1791,29
24,"distribute equipment for teaching",1712,"investimento em ‎
equipamentos e pacote de dados para professores e estudantes.",1791,29
16,"monitoring downloads",334,"‎● ‎	‎72.733 usuários baixaram o App, versão Android e 453 usuários a versão ‎IOS, com uso de dados estimados em 1.27 TB;‎",456,21
20,"monitoring subscription in training",457,"‎● ‎	‎1.948.620 usuários no site EscoLAR;‎",499,21
18,"production of learning contents",1102,"‎● ‎	‎250 videoaulas produzidas e disponibilizadas no Canal da Sedu no ‎Youtube. ‎",1184,21
54,"monitoring access",500,"‎● ‎	‎3.314.000 acessos ao site EscoLAR;‎
‎● ‎	‎ 237.406 alunos no Google Sala de Aula;‎
‎● ‎	‎10.517 professores no Google Sala de Aula;‎
‎● ‎	‎8.283 salas de aula ativas no Google Sala de Aula;‎
‎● ‎	‎86,62% dos alunos da rede estadual com acesso às APNPs (média de ‎todas as modalidades);‎
‎● ‎	‎87,04% dos alunos do ensino médio da rede estadual com acesso às ‎APNPs;‎
‎● ‎	‎88,40% dos alunos do ensino fundamental anos finais da rede estadual ‎com acesso às APNPs;‎
‎● ‎	‎93,00% dos alunos da educação profissional com acesso às APNPs;‎
‎● ‎	Dentre os alunos com acesso, 70,31% deram devolutiva;‎",1101,21
54,"monitoring access",1295,"●‎	‎ 283.083 pessoas acessaram continuamente os portais e plataformas de ‎conteúdos digitais durante os meses de janeiro a dezembro de 2020, ‎resultando em 1.438.878 visualizações de páginas;‎",1487,21
30,"training event",1488,"‎●‎	‎ Ainda em 2020, foram realizadas muitas Lives/webinares, 19 somente ‎para a apropriação tecnológica dos profissionais da educação, resultando ‎em 93.739 visualizações até dezembro;‎",1674,21
33,"trainning courses",1675,"‎●‎	Foram ofertados 9 cursos online, no Moodle, totalizando 6.759 inscritos, ‎somente nos cursos voltados para a cultura e fluência digital;‎",1816,21
31,"training groups",1817,"‎●‎	‎ 3.450 profissionais da educação engajados em 13 comunidades virtuais, ‎resultando num cenário de uso de tecnologia mais criativo e voltado para ‎as competências digitais - https://padlet.com/sedudigital/boaspraticas .‎",2041,21
20,"monitoring subscription in training",1817,"‎●‎	‎ 3.450 profissionais da educação engajados em 13 comunidades virtuais, ‎resultando num cenário de uso de tecnologia mais criativo e voltado para ‎as competências digitais - https://padlet.com/sedudigital/boaspraticas .‎",2041,21
24,"distribute equipment for teaching",153,"A rede estadual já contava, desde 2019, com 194 laboratórios móveis (8 mil ‎
equipamentos), entregues em 45% das escolas (40 equipamentos cada) e ‎
disponibilizado wi-fi nas salas de aula, visando a reorganização dos espaços ‎
escolares. Em 2020, esses equipamentos deram suporte às atividades pedagógicas ‎
nos momentos de atendimentos presenciais aos alunos, período em que houve ‎
rodízio.‎",546,22
54,"monitoring access",548,"Ainda em 2020, uma pesquisa aplicada pela Secretaria constatou que 76% dos ‎
nossos estudantes tinham acesso à internet (razoável e rápida), 20% internet lenta ‎
ou muito lenta e somente 4% não tinha acesso à internet.  Adicionalmente, sabemos ‎
que 57% dos nossos estudantes não tinha acesso a computadores, 27% faziam uso ‎
compartilhado e somente 15% faziam uso próprio. ",922,22
3,"develop/use of learning mobile apps",958,"foi criado um aplicativo  (App EscoLAR -  ‎
https://sedudigital.edu.es.gov.br/infraestrutura/aplicativo-escolar )",1071,22
23,"free Internet access",1090,"acesso com internet patrocinada (gratuita) ao Google Classroom para todos os ‎
professores e alunos, por meio do uso de Smartphone",1220,22
54,"monitoring access",1223,"Por meio do Analytics, é ‎
monitorado o uso do aplicativo e o consumo de dados por dia, mês e ano (por ‎
operadora), possibilitando, a partir da análise desses dados, a tomada de decisão ‎
mais segura no fortalecimento desta política.",1457,22
23,"free Internet access",1537,"atualização do app incluindo o ‎
patrocínio para outras ferramentas, como o canal da Sedu no Youtube, portal de ‎
conteúdos digitais curriculares, Boletim de notas do Sistema de Gestão, notícias da ‎
Sedu. São iniciativas que expandem as oportunidades de estudo. Encontra-se em ‎
estudo a inclusão do patrocínio para o Meet, também via Aplicativo EscoLAR. ‎",1894,22
24,"distribute equipment for teaching",1916,"as escolas receberam recursos para aquisição de notebooks ‎
para atendimento à área administrativa e todos os profissionais da educação ‎
receberão, no mês de junho, repasses financeiros para aquisição de equipamentos ‎
de informática e apoio ao custeio de plano de Internet.",2191,22
25,"distribute equipment for students",2333,"investimento em chromebooks e modem para acesso a ‎
internet, via comodato, para os estudantes que atendam ao menos a um dos ‎
seguintes requisitos: estar matriculado no ensino médio noturno; estar matriculado ‎
no ensino médio em escola que compartilhe transporte com o município; estar ‎
matriculado na terceira série do ensino médio, regular ou integrado e estudantes ‎
matriculados na EJA. ‎",2728,22
33,"trainning courses",147,"A secretaria definiu em sua Política de Formação de Professores a modalidade de ‎
educação a distância como forma de expandir as oportunidades formativas a todos ‎
os profissionais da educação do ES, incluindo as redes municipais. Para isso, houve ‎
a instalação e customização do Moodle e a criação, em 2020, de cursos ‎
direcionados ao desenvolvimento de conhecimentos necessários para o momento ‎
vivido, customizados com as referências das escolas estaduais, como o Ensino ‎
Híbrido e metodologias ativas (80h), produção de videoaulas (80h) e produção de ‎
animações (40h). ‎",726,23
29,"training material",728,"A Secretaria também realizou curadoria de cursos de terceiros, de acesso público e ‎
que atendiam às necessidades da sua rede de ensino",863,23
68,"partnership with private institutions",876,"foram efetivadas ‎
parcerias (sem custos) com outras instituições como a Fundação Telefônica Vivo ‎
‎(com o Programa de formação para inovação Escolas Conectadas ‎
‎(https://www.escolasconectadas.org.br/)), a Safernet, com curso voltado para a o ‎
uso ético, responsável e seguro da internet - Boas Escolhas Online. ‎",1193,23
57,"monitoring graduates",1194,"As formações de 2020 voltadas para a apropriação tecnológica podem ser ‎
conhecidas nos links https://formacoes.sedu.es.gov.br/formacoes-sedu-digital-2020 ‎
e https://formacoes.sedu.es.gov.br/formacoes-geped-2020.",1407,23
30,"training event",1410,"Além disso, outros movimentos formativos foram realizados, tais como lives e ‎
webinários com a participação de escolas e professores inovadores que se ‎
encontram no nível avançado de uso das ferramentas digitais. Para essas ações ‎
usamos o StreamYard e Youtube. As gravações são amplamente divulgadas para ‎
as redes de ensino (estadual e municipais) via portal -  ‎
https://sedudigital.edu.es.gov.br/cursos/webinar - canal do Youtube e redes sociais.",1864,23
50,"external assessments",1869,"A identificação desses professores inovadores surgiu, em 2020, após parceria com ‎
o Google visando a certificação Nível 1 de 120 profissionais.",2013,23
31,"training groups",2014,"Para fomentar a ‎
comunicação entre esse grupo e também integrar e comunicar com os demais ‎
professores da rede, foram criadas comunidades virtuais utilizando ferramentas ‎
definidas pelos professores, como Telegram, WhatsApp e Google Classroom",2259,23
18,"production of learning contents",2261,"São ‎
mais de 4 mil profissionais em processos de colaboração, compartilhamento de ‎
informações e práticas educativas, bem como produção de materiais/conteúdos ‎
digitais. Esse movimento ajuda a resolver dificuldades dos docentes e gera ‎
empoderamento suficiente para fazer com que alguns grupos realizem capacitações ‎
e projetos específicos com seus professores. ‎",2629,23
34,"assess digital competences",2630,"Para aprimorar ainda mais a definição de cursos EAD e a criação de comunidades, ‎
de forma que atendam as necessidade dos profissionais da educação, a Secretaria ‎
está aplicando a Autoavaliação de Competências Digitais de Professores, ‎
desenvolvida pelo CIEB (Centro de Inovação para Educação Brasileira - ‎
‎(https://guiaedutec.com.br/), com 23 perguntas de múltipla escolha divididas em 3 ‎
áreas (pedagógica, cidadania digital e desenvolvimento profissional), onde 12 ‎
competências são avaliadas em 5 níveis de apropriação - exposição, familiarização, ‎
adaptação, integração e transformação. Ao responderem este questionário, todos os ‎
professores recebem uma devolutiva personalizada, informando em qual nível se ‎
encontra, o que demonstra onde pode aprimorar sua prática profissional ‎
imediatamente e de forma autônoma, a partir de orientações e direcionamentos ‎
específicos. ‎",3520,23
33,"trainning courses",3954,"ações formativas, como ‎
cursos disponibilizados na modalidade a distância (EAD) e lives, que serão ‎
planejadas para este fim. ‎",4083,23
30,"training event",3954,"ações formativas, como ‎
cursos disponibilizados na modalidade a distância (EAD) e lives, que serão ‎
planejadas para este fim. ‎",4083,23
51,"assess Ed tech adoption",4119,"Guia Edutec, também do Cieb, para medir o nível ‎
de apropriação tecnológica das escolas nas dimensões visão, competência, ‎
conteúdo digital e infraestrutura.",4278,23
37,"use/distribution of Google products",128,"Em 2018, após pesquisa na rede, observou-se uma tendência das escolas pelo uso ‎
da plataforma Google. Em 2019 a plataforma foi disponibilizada às 194 escolas com ‎
laboratório móvel.",311,24
46,"develop/adaptation of learning platforms",312,"Em 2020, com a pandemia e o Programa Escolar*, a plataforma ‎
se tornou a ferramenta oficial para a interação entre professores e estudantes em ‎
todas as escolas da rede, pois havia a necessidade de criação de salas virtuais, de ‎
forma a reproduzir o ambiente físico de uma escola.",595,24
37,"use/distribution of Google products",596,"Para isso, foram criadas contas ‎
de e-mail institucional para todos os estudantes (240 mil) e profissionais da ‎
educação (16 mil) da rede estadual de ensino (destes, 13 mil são professores) para ‎
acesso ao Google Classroom e demais ferramentas do Google Workspace for ‎
Education, como Drive, Formulários, Documentos, possibilitando o ‎
compartilhamento, a interação, a comunicação e a elaboração de atividades dos ‎
professores com os alunos ‎",1043,24
13,"use of educational TV",1044,"Em 2020, a Sedu investiu em distribuição de videoaulas via canais de TV abertas ‎
‎(num primeiro momento por meio de parceria com a Sedu do Amazonas e, após, via ‎
produção própria de videoaulas). ‎",1242,24
2,"use/distribution of digital resouces",1243,"A Secretaria também realiza a curadoria de conteúdos digitais  educacionais de ‎
qualidade e de acesso público, organizados no site Vamos Aprender ‎
‎(https://curriculo.sedu.es.gov.br/curriculo/vamosaprender/) e na Plataforma Currículo ‎
Interativo - https://www.curriculointerativo.sedu.es.gov.br/, fruto da parceria com o ‎
projeto Escola Digital. ",1593,24
11,"partnership with public institutions",1370,"site Vamos Aprender ‎
‎(https://curriculo.sedu.es.gov.br/curriculo/vamosaprender/) e na Plataforma Currículo ‎
Interativo - https://www.curriculointerativo.sedu.es.gov.br/, fruto da parceria com o ‎
projeto Escola Digital.",1592,24
46,"develop/adaptation of learning platforms",1593,"Essa plataforma foi customizada com metadados tais como ‎
etapa de ensino, formato de mídia, componente curricular, competências, ‎
descritores das avaliações externas, tipo de licença e outros",1786,24
18,"production of learning contents",1797," a plataforma ‎
permite aos professores compartilharem suas produções, como objetos de ‎
aprendizagem, planos de aula e roteiros de estudos para alunos. ",1950,24
42,"use of social networks",1964," a Secretaria utiliza as redes sociais como Facebook ‎
‎(https://www.facebook.com/sedudigital), Instagram, WhatsApp, canal no Youtube ‎
‎(https://www.youtube.com/channel/UCrhGi-4uMzAnpC0Bv8ELebQ/playlists)  e ‎
outras, como o Padlet (https://padlet.com/sedudigital/boaspraticas) como estratégia ‎
de mobilização e para ampla divulgação das ações e atividades desenvolvidas, de ‎
forma que professores, alunos e famílias sejam informados e tenham acesso a ‎
todas as ações formativas ou materiais produzidos. ‎",2473,24
