"codeID","code","selfirst","selend","catID","catName","fileID","fileCatID","fileCat"
23,"free Internet access",156,221,13,"distribution",12,1,"All five States"
23,"free Internet access",156,221,20,"infrastructure",12,1,"All five States"
23,"free Internet access",156,221,13,"distribution",12,3,"Ceara"
23,"free Internet access",156,221,20,"infrastructure",12,3,"Ceara"
13,"education TV",233,275,13,"distribution",12,1,"All five States"
13,"education TV",233,275,19,"material",12,1,"All five States"
13,"education TV",233,275,20,"infrastructure",12,1,"All five States"
13,"education TV",233,275,13,"distribution",12,3,"Ceara"
13,"education TV",233,275,19,"material",12,3,"Ceara"
13,"education TV",233,275,20,"infrastructure",12,3,"Ceara"
1,"paper-based material",278,372,13,"distribution",12,1,"All five States"
1,"paper-based material",278,372,19,"material",12,1,"All five States"
1,"paper-based material",278,372,13,"distribution",12,3,"Ceara"
1,"paper-based material",278,372,19,"material",12,3,"Ceara"
24,"equipment for teaching",376,516,13,"distribution",12,1,"All five States"
24,"equipment for teaching",376,516,20,"infrastructure",12,1,"All five States"
24,"equipment for teaching",376,516,13,"distribution",12,3,"Ceara"
24,"equipment for teaching",376,516,20,"infrastructure",12,3,"Ceara"
25,"equipment for students",518,717,13,"distribution",12,1,"All five States"
25,"equipment for students",518,717,20,"infrastructure",12,1,"All five States"
25,"equipment for students",518,717,13,"distribution",12,3,"Ceara"
25,"equipment for students",518,717,20,"infrastructure",12,3,"Ceara"
24,"equipment for teaching",724,792,13,"distribution",12,1,"All five States"
24,"equipment for teaching",724,792,20,"infrastructure",12,1,"All five States"
24,"equipment for teaching",724,792,13,"distribution",12,3,"Ceara"
24,"equipment for teaching",724,792,20,"infrastructure",12,3,"Ceara"
33,"trainning courses",152,392,8,"training",13,1,"All five States"
33,"trainning courses",152,392,13,"distribution",13,1,"All five States"
33,"trainning courses",152,392,17,"expertise",13,1,"All five States"
33,"trainning courses",152,392,8,"training",13,3,"Ceara"
33,"trainning courses",152,392,13,"distribution",13,3,"Ceara"
33,"trainning courses",152,392,17,"expertise",13,3,"Ceara"
30,"training event",394,465,8,"training",13,1,"All five States"
30,"training event",394,465,13,"distribution",13,1,"All five States"
30,"training event",394,465,17,"expertise",13,1,"All five States"
30,"training event",394,465,8,"training",13,3,"Ceara"
30,"training event",394,465,13,"distribution",13,3,"Ceara"
30,"training event",394,465,17,"expertise",13,3,"Ceara"
33,"trainning courses",546,869,8,"training",13,1,"All five States"
33,"trainning courses",546,869,13,"distribution",13,1,"All five States"
33,"trainning courses",546,869,17,"expertise",13,1,"All five States"
33,"trainning courses",546,869,8,"training",13,3,"Ceara"
33,"trainning courses",546,869,13,"distribution",13,3,"Ceara"
33,"trainning courses",546,869,17,"expertise",13,3,"Ceara"
57,"num of graduates",877,1044,12,"assess",13,1,"All five States"
57,"num of graduates",877,1044,18,"vision",13,1,"All five States"
57,"num of graduates",877,1044,19,"material",13,1,"All five States"
57,"num of graduates",877,1044,12,"assess",13,3,"Ceara"
57,"num of graduates",877,1044,18,"vision",13,3,"Ceara"
57,"num of graduates",877,1044,19,"material",13,3,"Ceara"
20,"num of subscription for training",1046,1298,12,"assess",13,1,"All five States"
20,"num of subscription for training",1046,1298,18,"vision",13,1,"All five States"
20,"num of subscription for training",1046,1298,19,"material",13,1,"All five States"
20,"num of subscription for training",1046,1298,12,"assess",13,3,"Ceara"
20,"num of subscription for training",1046,1298,18,"vision",13,3,"Ceara"
20,"num of subscription for training",1046,1298,19,"material",13,3,"Ceara"
34,"digital competences",1308,1506,12,"assess",13,1,"All five States"
34,"digital competences",1308,1506,17,"expertise",13,1,"All five States"
34,"digital competences",1308,1506,18,"vision",13,1,"All five States"
34,"digital competences",1308,1506,12,"assess",13,3,"Ceara"
34,"digital competences",1308,1506,17,"expertise",13,3,"Ceara"
34,"digital competences",1308,1506,18,"vision",13,3,"Ceara"
15,"academic achievements",1508,1856,12,"assess",13,1,"All five States"
15,"academic achievements",1508,1856,18,"vision",13,1,"All five States"
15,"academic achievements",1508,1856,12,"assess",13,3,"Ceara"
15,"academic achievements",1508,1856,18,"vision",13,3,"Ceara"
37,"Google products",133,618,13,"distribution",14,1,"All five States"
37,"Google products",133,618,19,"material",14,1,"All five States"
37,"Google products",133,618,20,"infrastructure",14,1,"All five States"
37,"Google products",133,618,13,"distribution",14,3,"Ceara"
37,"Google products",133,618,19,"material",14,3,"Ceara"
37,"Google products",133,618,20,"infrastructure",14,3,"Ceara"
46,"learning platforms",634,962,13,"distribution",14,1,"All five States"
46,"learning platforms",634,962,14,"development",14,1,"All five States"
46,"learning platforms",634,962,19,"material",14,1,"All five States"
46,"learning platforms",634,962,20,"infrastructure",14,1,"All five States"
46,"learning platforms",634,962,13,"distribution",14,3,"Ceara"
46,"learning platforms",634,962,14,"development",14,3,"Ceara"
46,"learning platforms",634,962,19,"material",14,3,"Ceara"
46,"learning platforms",634,962,20,"infrastructure",14,3,"Ceara"
27,"management units",130,314,14,"development",15,1,"All five States"
27,"management units",130,314,15,"collaboration",15,1,"All five States"
27,"management units",130,314,18,"vision",15,1,"All five States"
27,"management units",130,314,14,"development",15,3,"Ceara"
27,"management units",130,314,15,"collaboration",15,3,"Ceara"
27,"management units",130,314,18,"vision",15,3,"Ceara"
4,"guidelines to remote learning",323,747,14,"development",15,1,"All five States"
4,"guidelines to remote learning",323,747,18,"vision",15,1,"All five States"
4,"guidelines to remote learning",323,747,14,"development",15,3,"Ceara"
4,"guidelines to remote learning",323,747,18,"vision",15,3,"Ceara"
72,"conceptualization of remote learning",301,595,18,"vision",16,1,"All five States"
72,"conceptualization of remote learning",301,595,18,"vision",16,3,"Ceara"
27,"management units",597,1056,14,"development",16,1,"All five States"
27,"management units",597,1056,15,"collaboration",16,1,"All five States"
27,"management units",597,1056,18,"vision",16,1,"All five States"
27,"management units",597,1056,14,"development",16,3,"Ceara"
27,"management units",597,1056,15,"collaboration",16,3,"Ceara"
27,"management units",597,1056,18,"vision",16,3,"Ceara"
24,"equipment for teaching",106,284,13,"distribution",17,1,"All five States"
24,"equipment for teaching",106,284,20,"infrastructure",17,1,"All five States"
24,"equipment for teaching",106,284,13,"distribution",17,3,"Ceara"
24,"equipment for teaching",106,284,20,"infrastructure",17,3,"Ceara"
25,"equipment for students",291,369,13,"distribution",17,1,"All five States"
25,"equipment for students",291,369,20,"infrastructure",17,1,"All five States"
25,"equipment for students",291,369,13,"distribution",17,3,"Ceara"
25,"equipment for students",291,369,20,"infrastructure",17,3,"Ceara"
24,"equipment for teaching",376,448,13,"distribution",17,1,"All five States"
24,"equipment for teaching",376,448,20,"infrastructure",17,1,"All five States"
24,"equipment for teaching",376,448,13,"distribution",17,3,"Ceara"
24,"equipment for teaching",376,448,20,"infrastructure",17,3,"Ceara"
24,"equipment for teaching",455,617,13,"distribution",17,1,"All five States"
24,"equipment for teaching",455,617,20,"infrastructure",17,1,"All five States"
24,"equipment for teaching",455,617,13,"distribution",17,3,"Ceara"
24,"equipment for teaching",455,617,20,"infrastructure",17,3,"Ceara"
46,"learning platforms",624,759,13,"distribution",17,1,"All five States"
46,"learning platforms",624,759,14,"development",17,1,"All five States"
46,"learning platforms",624,759,19,"material",17,1,"All five States"
46,"learning platforms",624,759,20,"infrastructure",17,1,"All five States"
46,"learning platforms",624,759,13,"distribution",17,3,"Ceara"
46,"learning platforms",624,759,14,"development",17,3,"Ceara"
46,"learning platforms",624,759,19,"material",17,3,"Ceara"
46,"learning platforms",624,759,20,"infrastructure",17,3,"Ceara"
18,"learning contents",765,910,14,"development",17,1,"All five States"
18,"learning contents",765,910,19,"material",17,1,"All five States"
18,"learning contents",765,910,14,"development",17,3,"Ceara"
18,"learning contents",765,910,19,"material",17,3,"Ceara"
34,"digital competences",152,395,12,"assess",18,1,"All five States"
34,"digital competences",152,395,17,"expertise",18,1,"All five States"
34,"digital competences",152,395,18,"vision",18,1,"All five States"
34,"digital competences",152,395,12,"assess",18,3,"Ceara"
34,"digital competences",152,395,17,"expertise",18,3,"Ceara"
34,"digital competences",152,395,18,"vision",18,3,"Ceara"
20,"num of subscription for training",397,629,12,"assess",18,1,"All five States"
20,"num of subscription for training",397,629,18,"vision",18,1,"All five States"
20,"num of subscription for training",397,629,19,"material",18,1,"All five States"
20,"num of subscription for training",397,629,12,"assess",18,3,"Ceara"
20,"num of subscription for training",397,629,18,"vision",18,3,"Ceara"
20,"num of subscription for training",397,629,19,"material",18,3,"Ceara"
55,"media access",631,805,12,"assess",18,1,"All five States"
55,"media access",631,805,18,"vision",18,1,"All five States"
55,"media access",631,805,19,"material",18,1,"All five States"
55,"media access",631,805,12,"assess",18,3,"Ceara"
55,"media access",631,805,18,"vision",18,3,"Ceara"
55,"media access",631,805,19,"material",18,3,"Ceara"
34,"digital competences",1746,2117,12,"assess",18,1,"All five States"
34,"digital competences",1746,2117,17,"expertise",18,1,"All five States"
34,"digital competences",1746,2117,18,"vision",18,1,"All five States"
34,"digital competences",1746,2117,12,"assess",18,3,"Ceara"
34,"digital competences",1746,2117,17,"expertise",18,3,"Ceara"
34,"digital competences",1746,2117,18,"vision",18,3,"Ceara"
15,"academic achievements",2127,2478,12,"assess",18,1,"All five States"
15,"academic achievements",2127,2478,18,"vision",18,1,"All five States"
15,"academic achievements",2127,2478,12,"assess",18,3,"Ceara"
15,"academic achievements",2127,2478,18,"vision",18,3,"Ceara"
52,"schools actions reports",2480,2781,12,"assess",18,1,"All five States"
52,"schools actions reports",2480,2781,18,"vision",18,1,"All five States"
52,"schools actions reports",2480,2781,12,"assess",18,3,"Ceara"
52,"schools actions reports",2480,2781,18,"vision",18,3,"Ceara"
27,"management units",150,325,14,"development",19,1,"All five States"
27,"management units",150,325,15,"collaboration",19,1,"All five States"
27,"management units",150,325,18,"vision",19,1,"All five States"
27,"management units",150,325,14,"development",19,3,"Ceara"
27,"management units",150,325,15,"collaboration",19,3,"Ceara"
27,"management units",150,325,18,"vision",19,3,"Ceara"
34,"digital competences",655,1275,12,"assess",19,1,"All five States"
34,"digital competences",655,1275,17,"expertise",19,1,"All five States"
34,"digital competences",655,1275,18,"vision",19,1,"All five States"
34,"digital competences",655,1275,12,"assess",19,3,"Ceara"
34,"digital competences",655,1275,17,"expertise",19,3,"Ceara"
34,"digital competences",655,1275,18,"vision",19,3,"Ceara"
30,"training event",1451,2444,8,"training",19,1,"All five States"
30,"training event",1451,2444,13,"distribution",19,1,"All five States"
30,"training event",1451,2444,17,"expertise",19,1,"All five States"
30,"training event",1451,2444,8,"training",19,3,"Ceara"
30,"training event",1451,2444,13,"distribution",19,3,"Ceara"
30,"training event",1451,2444,17,"expertise",19,3,"Ceara"
4,"guidelines to remote learning",1027,1224,14,"development",20,1,"All five States"
4,"guidelines to remote learning",1027,1224,18,"vision",20,1,"All five States"
4,"guidelines to remote learning",1027,1224,14,"development",20,4,"Espirito-Santo"
4,"guidelines to remote learning",1027,1224,18,"vision",20,4,"Espirito-Santo"
1,"paper-based material",1385,1644,13,"distribution",20,1,"All five States"
1,"paper-based material",1385,1644,19,"material",20,1,"All five States"
1,"paper-based material",1385,1644,13,"distribution",20,4,"Espirito-Santo"
1,"paper-based material",1385,1644,19,"material",20,4,"Espirito-Santo"
46,"learning platforms",1712,1963,13,"distribution",20,1,"All five States"
46,"learning platforms",1712,1963,14,"development",20,1,"All five States"
46,"learning platforms",1712,1963,19,"material",20,1,"All five States"
46,"learning platforms",1712,1963,20,"infrastructure",20,1,"All five States"
46,"learning platforms",1712,1963,13,"distribution",20,4,"Espirito-Santo"
46,"learning platforms",1712,1963,14,"development",20,4,"Espirito-Santo"
46,"learning platforms",1712,1963,19,"material",20,4,"Espirito-Santo"
46,"learning platforms",1712,1963,20,"infrastructure",20,4,"Espirito-Santo"
3,"learning mobile apps",2020,2169,13,"distribution",20,1,"All five States"
3,"learning mobile apps",2020,2169,14,"development",20,1,"All five States"
3,"learning mobile apps",2020,2169,19,"material",20,1,"All five States"
3,"learning mobile apps",2020,2169,20,"infrastructure",20,1,"All five States"
3,"learning mobile apps",2020,2169,13,"distribution",20,4,"Espirito-Santo"
3,"learning mobile apps",2020,2169,14,"development",20,4,"Espirito-Santo"
3,"learning mobile apps",2020,2169,19,"material",20,4,"Espirito-Santo"
3,"learning mobile apps",2020,2169,20,"infrastructure",20,4,"Espirito-Santo"
31,"training groups",2179,2373,8,"training",20,1,"All five States"
31,"training groups",2179,2373,15,"collaboration",20,1,"All five States"
31,"training groups",2179,2373,17,"expertise",20,1,"All five States"
31,"training groups",2179,2373,8,"training",20,4,"Espirito-Santo"
31,"training groups",2179,2373,15,"collaboration",20,4,"Espirito-Santo"
31,"training groups",2179,2373,17,"expertise",20,4,"Espirito-Santo"
46,"learning platforms",2381,2649,13,"distribution",20,1,"All five States"
46,"learning platforms",2381,2649,14,"development",20,1,"All five States"
46,"learning platforms",2381,2649,19,"material",20,1,"All five States"
46,"learning platforms",2381,2649,20,"infrastructure",20,1,"All five States"
46,"learning platforms",2381,2649,13,"distribution",20,4,"Espirito-Santo"
46,"learning platforms",2381,2649,14,"development",20,4,"Espirito-Santo"
46,"learning platforms",2381,2649,19,"material",20,4,"Espirito-Santo"
46,"learning platforms",2381,2649,20,"infrastructure",20,4,"Espirito-Santo"
33,"trainning courses",2783,2793,8,"training",20,1,"All five States"
33,"trainning courses",2783,2793,13,"distribution",20,1,"All five States"
33,"trainning courses",2783,2793,17,"expertise",20,1,"All five States"
33,"trainning courses",2783,2793,8,"training",20,4,"Espirito-Santo"
33,"trainning courses",2783,2793,13,"distribution",20,4,"Espirito-Santo"
33,"trainning courses",2783,2793,17,"expertise",20,4,"Espirito-Santo"
30,"training event",2795,2800,8,"training",20,1,"All five States"
30,"training event",2795,2800,13,"distribution",20,1,"All five States"
30,"training event",2795,2800,17,"expertise",20,1,"All five States"
30,"training event",2795,2800,8,"training",20,4,"Espirito-Santo"
30,"training event",2795,2800,13,"distribution",20,4,"Espirito-Santo"
30,"training event",2795,2800,17,"expertise",20,4,"Espirito-Santo"
29,"training material",2804,2831,8,"training",20,1,"All five States"
29,"training material",2804,2831,13,"distribution",20,1,"All five States"
29,"training material",2804,2831,17,"expertise",20,1,"All five States"
29,"training material",2804,2831,19,"material",20,1,"All five States"
29,"training material",2804,2831,8,"training",20,4,"Espirito-Santo"
29,"training material",2804,2831,13,"distribution",20,4,"Espirito-Santo"
29,"training material",2804,2831,17,"expertise",20,4,"Espirito-Santo"
29,"training material",2804,2831,19,"material",20,4,"Espirito-Santo"
24,"equipment for teaching",2842,2899,13,"distribution",20,1,"All five States"
24,"equipment for teaching",2842,2899,20,"infrastructure",20,1,"All five States"
24,"equipment for teaching",2842,2899,13,"distribution",20,4,"Espirito-Santo"
24,"equipment for teaching",2842,2899,20,"infrastructure",20,4,"Espirito-Santo"
68,"partnership with private institutions",2909,3095,9,"partnership",20,1,"All five States"
68,"partnership with private institutions",2909,3095,15,"collaboration",20,1,"All five States"
68,"partnership with private institutions",2909,3095,18,"vision",20,1,"All five States"
68,"partnership with private institutions",2909,3095,9,"partnership",20,4,"Espirito-Santo"
68,"partnership with private institutions",2909,3095,15,"collaboration",20,4,"Espirito-Santo"
68,"partnership with private institutions",2909,3095,18,"vision",20,4,"Espirito-Santo"
4,"guidelines to remote learning",184,276,14,"development",29,1,"All five States"
4,"guidelines to remote learning",184,276,18,"vision",29,1,"All five States"
4,"guidelines to remote learning",184,276,14,"development",29,4,"Espirito-Santo"
4,"guidelines to remote learning",184,276,18,"vision",29,4,"Espirito-Santo"
61,"training in innovative pedagogical practices",280,367,8,"training",29,1,"All five States"
61,"training in innovative pedagogical practices",280,367,17,"expertise",29,1,"All five States"
61,"training in innovative pedagogical practices",280,367,8,"training",29,4,"Espirito-Santo"
61,"training in innovative pedagogical practices",280,367,17,"expertise",29,4,"Espirito-Santo"
18,"learning contents",368,564,14,"development",29,1,"All five States"
18,"learning contents",368,564,19,"material",29,1,"All five States"
18,"learning contents",368,564,14,"development",29,4,"Espirito-Santo"
18,"learning contents",368,564,19,"material",29,4,"Espirito-Santo"
31,"training groups",572,998,8,"training",29,1,"All five States"
31,"training groups",572,998,15,"collaboration",29,1,"All five States"
31,"training groups",572,998,17,"expertise",29,1,"All five States"
31,"training groups",572,998,8,"training",29,4,"Espirito-Santo"
31,"training groups",572,998,15,"collaboration",29,4,"Espirito-Santo"
31,"training groups",572,998,17,"expertise",29,4,"Espirito-Santo"
34,"digital competences",1006,1340,12,"assess",29,1,"All five States"
34,"digital competences",1006,1340,17,"expertise",29,1,"All five States"
34,"digital competences",1006,1340,18,"vision",29,1,"All five States"
34,"digital competences",1006,1340,12,"assess",29,4,"Espirito-Santo"
34,"digital competences",1006,1340,17,"expertise",29,4,"Espirito-Santo"
34,"digital competences",1006,1340,18,"vision",29,4,"Espirito-Santo"
18,"learning contents",1367,1570,14,"development",29,1,"All five States"
18,"learning contents",1367,1570,19,"material",29,1,"All five States"
18,"learning contents",1367,1570,14,"development",29,4,"Espirito-Santo"
18,"learning contents",1367,1570,19,"material",29,4,"Espirito-Santo"
3,"learning mobile apps",1649,1675,13,"distribution",29,1,"All five States"
3,"learning mobile apps",1649,1675,14,"development",29,1,"All five States"
3,"learning mobile apps",1649,1675,19,"material",29,1,"All five States"
3,"learning mobile apps",1649,1675,20,"infrastructure",29,1,"All five States"
3,"learning mobile apps",1649,1675,13,"distribution",29,4,"Espirito-Santo"
3,"learning mobile apps",1649,1675,14,"development",29,4,"Espirito-Santo"
3,"learning mobile apps",1649,1675,19,"material",29,4,"Espirito-Santo"
3,"learning mobile apps",1649,1675,20,"infrastructure",29,4,"Espirito-Santo"
23,"free Internet access",1679,1697,13,"distribution",29,1,"All five States"
23,"free Internet access",1679,1697,20,"infrastructure",29,1,"All five States"
23,"free Internet access",1679,1697,13,"distribution",29,4,"Espirito-Santo"
23,"free Internet access",1679,1697,20,"infrastructure",29,4,"Espirito-Santo"
25,"equipment for students",1712,1791,13,"distribution",29,1,"All five States"
25,"equipment for students",1712,1791,20,"infrastructure",29,1,"All five States"
25,"equipment for students",1712,1791,13,"distribution",29,4,"Espirito-Santo"
25,"equipment for students",1712,1791,20,"infrastructure",29,4,"Espirito-Santo"
24,"equipment for teaching",1712,1791,13,"distribution",29,1,"All five States"
24,"equipment for teaching",1712,1791,20,"infrastructure",29,1,"All five States"
24,"equipment for teaching",1712,1791,13,"distribution",29,4,"Espirito-Santo"
24,"equipment for teaching",1712,1791,20,"infrastructure",29,4,"Espirito-Santo"
16,"num of downloads",334,456,12,"assess",21,1,"All five States"
16,"num of downloads",334,456,18,"vision",21,1,"All five States"
16,"num of downloads",334,456,19,"material",21,1,"All five States"
16,"num of downloads",334,456,12,"assess",21,4,"Espirito-Santo"
16,"num of downloads",334,456,18,"vision",21,4,"Espirito-Santo"
16,"num of downloads",334,456,19,"material",21,4,"Espirito-Santo"
20,"num of subscription for training",457,499,12,"assess",21,1,"All five States"
20,"num of subscription for training",457,499,18,"vision",21,1,"All five States"
20,"num of subscription for training",457,499,19,"material",21,1,"All five States"
20,"num of subscription for training",457,499,12,"assess",21,4,"Espirito-Santo"
20,"num of subscription for training",457,499,18,"vision",21,4,"Espirito-Santo"
20,"num of subscription for training",457,499,19,"material",21,4,"Espirito-Santo"
18,"learning contents",1102,1184,14,"development",21,1,"All five States"
18,"learning contents",1102,1184,19,"material",21,1,"All five States"
18,"learning contents",1102,1184,14,"development",21,4,"Espirito-Santo"
18,"learning contents",1102,1184,19,"material",21,4,"Espirito-Santo"
54,"num of access",500,1101,12,"assess",21,1,"All five States"
54,"num of access",500,1101,18,"vision",21,1,"All five States"
54,"num of access",500,1101,19,"material",21,1,"All five States"
54,"num of access",500,1101,12,"assess",21,4,"Espirito-Santo"
54,"num of access",500,1101,18,"vision",21,4,"Espirito-Santo"
54,"num of access",500,1101,19,"material",21,4,"Espirito-Santo"
54,"num of access",1295,1487,12,"assess",21,1,"All five States"
54,"num of access",1295,1487,18,"vision",21,1,"All five States"
54,"num of access",1295,1487,19,"material",21,1,"All five States"
54,"num of access",1295,1487,12,"assess",21,4,"Espirito-Santo"
54,"num of access",1295,1487,18,"vision",21,4,"Espirito-Santo"
54,"num of access",1295,1487,19,"material",21,4,"Espirito-Santo"
30,"training event",1488,1674,8,"training",21,1,"All five States"
30,"training event",1488,1674,13,"distribution",21,1,"All five States"
30,"training event",1488,1674,17,"expertise",21,1,"All five States"
30,"training event",1488,1674,8,"training",21,4,"Espirito-Santo"
30,"training event",1488,1674,13,"distribution",21,4,"Espirito-Santo"
30,"training event",1488,1674,17,"expertise",21,4,"Espirito-Santo"
33,"trainning courses",1675,1816,8,"training",21,1,"All five States"
33,"trainning courses",1675,1816,13,"distribution",21,1,"All five States"
33,"trainning courses",1675,1816,17,"expertise",21,1,"All five States"
33,"trainning courses",1675,1816,8,"training",21,4,"Espirito-Santo"
33,"trainning courses",1675,1816,13,"distribution",21,4,"Espirito-Santo"
33,"trainning courses",1675,1816,17,"expertise",21,4,"Espirito-Santo"
31,"training groups",1817,2041,8,"training",21,1,"All five States"
31,"training groups",1817,2041,15,"collaboration",21,1,"All five States"
31,"training groups",1817,2041,17,"expertise",21,1,"All five States"
31,"training groups",1817,2041,8,"training",21,4,"Espirito-Santo"
31,"training groups",1817,2041,15,"collaboration",21,4,"Espirito-Santo"
31,"training groups",1817,2041,17,"expertise",21,4,"Espirito-Santo"
20,"num of subscription for training",1817,2041,12,"assess",21,1,"All five States"
20,"num of subscription for training",1817,2041,18,"vision",21,1,"All five States"
20,"num of subscription for training",1817,2041,19,"material",21,1,"All five States"
20,"num of subscription for training",1817,2041,12,"assess",21,4,"Espirito-Santo"
20,"num of subscription for training",1817,2041,18,"vision",21,4,"Espirito-Santo"
20,"num of subscription for training",1817,2041,19,"material",21,4,"Espirito-Santo"
24,"equipment for teaching",153,546,13,"distribution",22,1,"All five States"
24,"equipment for teaching",153,546,20,"infrastructure",22,1,"All five States"
24,"equipment for teaching",153,546,13,"distribution",22,4,"Espirito-Santo"
24,"equipment for teaching",153,546,20,"infrastructure",22,4,"Espirito-Santo"
54,"num of access",548,922,12,"assess",22,1,"All five States"
54,"num of access",548,922,18,"vision",22,1,"All five States"
54,"num of access",548,922,19,"material",22,1,"All five States"
54,"num of access",548,922,12,"assess",22,4,"Espirito-Santo"
54,"num of access",548,922,18,"vision",22,4,"Espirito-Santo"
54,"num of access",548,922,19,"material",22,4,"Espirito-Santo"
3,"learning mobile apps",958,1071,13,"distribution",22,1,"All five States"
3,"learning mobile apps",958,1071,14,"development",22,1,"All five States"
3,"learning mobile apps",958,1071,19,"material",22,1,"All five States"
3,"learning mobile apps",958,1071,20,"infrastructure",22,1,"All five States"
3,"learning mobile apps",958,1071,13,"distribution",22,4,"Espirito-Santo"
3,"learning mobile apps",958,1071,14,"development",22,4,"Espirito-Santo"
3,"learning mobile apps",958,1071,19,"material",22,4,"Espirito-Santo"
3,"learning mobile apps",958,1071,20,"infrastructure",22,4,"Espirito-Santo"
23,"free Internet access",1090,1220,13,"distribution",22,1,"All five States"
23,"free Internet access",1090,1220,20,"infrastructure",22,1,"All five States"
23,"free Internet access",1090,1220,13,"distribution",22,4,"Espirito-Santo"
23,"free Internet access",1090,1220,20,"infrastructure",22,4,"Espirito-Santo"
54,"num of access",1223,1457,12,"assess",22,1,"All five States"
54,"num of access",1223,1457,18,"vision",22,1,"All five States"
54,"num of access",1223,1457,19,"material",22,1,"All five States"
54,"num of access",1223,1457,12,"assess",22,4,"Espirito-Santo"
54,"num of access",1223,1457,18,"vision",22,4,"Espirito-Santo"
54,"num of access",1223,1457,19,"material",22,4,"Espirito-Santo"
