fileCat,All five States,,,,,,,,,,,,,,,,,,,,,code,Goals/Evidence,Strategies,Total,,,,,,,,,,,,,,,,,,,,,,Codes,Goals,Evidence,Strategies (Vision),Strategies (Infrastructure),Strategies (Expertise),Strategies (Material),Total,,,,,,,,,,,,,,,,,,,,,,,,Codes,Adoption,Planning,Investment,Total,,,,,,,,,,,,
enrollments in public schools,2,2,,,,,,,,,,,,,,4,,,,,,literacy education,2,3,5,,,,,,,,,,,,,,,,,,,,,,training groups,1,1,1,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,academic achievements,,,,,,,,,,,,,,,,t
enrollments in special education,4,3,1,,,,,,,,,,,,,8,,,,,,partnership with private institutions,,5,5,,,,,,,,,,,,,,,,,,,,,,video/livestream platforms,,,2,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,accessibility facilities,,,,,,,,,,,,,,,,
enrollments in techical education,1,1,,,,,,,,,,,,,,2,,,,,,reestructuring learning content,,5,5,,,,,,,,,,,,,,,,,,,,,,equipment for students,1,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,better teacher laboral conditions,,,,,,,,,,,,,,,,
equipment for students,,,,3,1,,2,,2,,,2,,,2,12,,,,,,training in education management,,5,5,,,,,,,,,,,,,,,,,,,,,,media access,1,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,collaboration networks,,,,,,,,,,,,,,,,
equipment for teaching,5,2,3,6,1,,5,1,4,,,5,,,5,37,,,,,,digital competences,3,1,4,,,,,,,,,,,,,,,,,,,,,,training in innovative pedagogical practices,1,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,democratic/public participation,,,,,,,,,,,,,,,,
everyone learning,,,,1,,1,,,,,,1,1,,,4,,,,,,enrollments in special education,3,1,4,,,,,,,,,,,,,,,,,,,,,,training material,,,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,digital competences,,,,,,,,,,,,,,,,
external assessments,1,,1,2,,1,1,,,1,,,,,,7,,,,,,hire teachers,2,2,4,,,,,,,,,,,,,,,,,,,,,,ed-tech adoption,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,digital resouces,,,,,,,,,,,,,,,,
extracurricular activities,5,,5,,,,,,,,,,,,,10,,,,,,learning contents,,4,4,,,,,,,,,,,,,,,,,,,,,,external assessments,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,dissemination,,,,,,,,,,,,,,,,
financial resources,20,1,19,,,,,,,,,,,,,40,,,,,,learning platforms,2,2,4,,,,,,,,,,,,,,,,,,,,,,num of graduates,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,education quality,,,,,,,,,,,,,,,,
free Internet access,,,,9,1,,8,2,5,,1,2,,,2,30,,,,,,management units,,4,4,,,,,,,,,,,,,,,,,,,,,,partnership for learning content,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,education radio,,,,,,,,,,,,,,,,
full-time education,3,1,2,,,,,,,,,,,,,6,,,,,,participation in national assessment,,4,4,,,,,,,,,,,,,,,,,,,,,,social media,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,education TV,,,,,,,,,,,,,,,,
functional illiterates,2,2,,,,,,,,,,,,,,4,,,,,,training in innovative pedagogical practices,2,2,4,,,,,,,,,,,,,,,,,,,,,,education radio,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,enrollments in adult education,,,,,,,,,,,,,,,,
Google products,,,,6,,,6,,,,6,,,,,18,,,,,,digital resouces,1,2,3,,,,,,,,,,,,,,,,,,,,,,everyone learning,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,enrollments in higher education,,,,,,,,,,,,,,,,
guidelines for digital resources,1,,1,,,,,,,,,,,,,2,,,,,,enrollments in adult education,3,,3,,,,,,,,,,,,,,,,,,,,,,hire teachers,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,enrollments in nurseries,,,,,,,,,,,,,,,,
guidelines to remote learning,,,,7,1,,6,5,,1,,3,2,1,,26,,,,,,full-time education,1,2,3,,,,,,,,,,,,,,,,,,,,,,interactive materials,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,enrollments in public schools,,,,,,,,,,,,,,,,
healtly programs,3,,3,,,,,,,,,,,,,6,,,,,,healtly programs,,3,3,,,,,,,,,,,,,,,,,,,,,,Microsoft products,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,enrollments in special education,,,,,,,,,,,,,,,,
hire teachers,4,2,2,1,,,1,,1,,,1,,,1,13,,,,,,innovative pedag practices,3,,3,,,,,,,,,,,,,,,,,,,,,,num of downloads,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,enrollments in techical education,,,,,,,,,,,,,,,,
incentivate parents participation,1,,1,,,,,,,,,,,,,2,,,,,,L2 education,,3,3,,,,,,,,,,,,,,,,,,,,,,partnership with international agencies,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,external assessments,,,,,,,,,,,,,,,,
individual actions,2,,2,,,,,,,,,,,,,4,,,,,,labs/environments for schools,,3,3,,,,,,,,,,,,,,,,,,,,,,partnership with public institutions,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,extracurricular activities,,,,,,,,,,,,,,,,
innovative pedag practices,3,3,,,,,,,,,,,,,,6,,,,,,mechanism for school permance,,3,3,,,,,,,,,,,,,,,,,,,,,,school feeding program,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,financial resources,,,,,,,,,,,,,,,,
interactive materials,1,,1,1,,,1,,,,1,,,,,5,,,,,,partnership with international agencies,,3,3,,,,,,,,,,,,,,,,,,,,,,social competences,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,full-time education,,,,,,,,,,,,,,,,
internet infrastructure in schools,6,2,4,,,,,,,,,,,,,12,,,,,,quality parameters,,3,3,,,,,,,,,,,,,,,,,,,,,,accessibility facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,functional illiterates,,,,,,,,,,,,,,,,
L2 education,3,,3,,,,,,,,,,,,,6,,,,,,schools actions reports,,3,3,,,,,,,,,,,,,,,,,,,,,,better teacher laboral conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google products,,,,,,,,,,,,,,,,
labs/environments for schools,3,,3,,,,,,,,,,,,,6,,,,,,STEAM courses,,3,3,,,,,,,,,,,,,,,,,,,,,,collaboration networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guidelines for digital resources,,,,,,,,,,,,,,,,
learning contents,4,,4,5,2,1,2,,,1,1,1,,,1,22,,,,,,student graduation,,3,3,,,,,,,,,,,,,,,,,,,,,,conceptualization of remote learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,healtly programs,,,,,,,,,,,,,,,,
learning in right age,9,5,4,,,,,,,,,,,,,18,,,,,,training in digital resources,2,1,3,,,,,,,,,,,,,,,,,,,,,,democratic/public participation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incentivate parents participation,,,,,,,,,,,,,,,,
learning mobile apps,,,,7,1,,6,2,2,,2,2,1,,1,24,,,,,,training in teaching literacy,1,2,3,,,,,,,,,,,,,,,,,,,,,,dissemination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,individual actions,,,,,,,,,,,,,,,,
learning platforms,4,2,2,10,,1,9,4,1,,4,2,1,,1,41,,,,,,enrollments in nurseries,2,,2,,,,,,,,,,,,,,,,,,,,,,education quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,innovative pedag practices,,,,,,,,,,,,,,,,
literacy education,5,2,3,,,,,,,,,,,,,10,,,,,,enrollments in public schools,2,,2,,,,,,,,,,,,,,,,,,,,,,enrollments in adult education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interactive materials,,,,,,,,,,,,,,,,
management units,4,,4,4,1,,3,3,,,,4,3,3,2,31,,,,,,functional illiterates,2,,2,,,,,,,,,,,,,,,,,,,,,,enrollments in higher education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,internet infrastructure in schools,,,,,,,,,,,,,,,,
mechanism for school permance,3,,3,,,,,,,,,,,,,6,,,,,,individual actions,,2,2,,,,,,,,,,,,,,,,,,,,,,enrollments in nurseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2 education,,,,,,,,,,,,,,,,
media access,,,,3,1,2,,,,,,1,,1,,8,,,,,,schooling teacher levels,2,,2,,,,,,,,,,,,,,,,,,,,,,enrollments in public schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,labs/environments for schools,,,,,,,,,,,,,,,,
meet ed-demand,16,,16,,,,,,,,,,,,,32,,,,,,simplify bureacreatic process,,2,2,,,,,,,,,,,,,,,,,,,,,,enrollments in special education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learning in right age,,,,,,,,,,,,,,,,
Microsoft products,,,,1,,,1,,,,1,,,,,3,,,,,,target-population,,2,2,,,,,,,,,,,,,,,,,,,,,,enrollments in techical education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literacy education,,,,,,,,,,,,,,,,
num of access,,,,10,1,5,4,,2,,2,,,,,24,,,,,,training event,,2,2,,,,,,,,,,,,,,,,,,,,,,extracurricular activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mechanism for school permance,,,,,,,,,,,,,,,,
num of downloads,,,,1,,1,,,,,,,,,,2,,,,,,accessibility facilities,1,,1,,,,,,,,,,,,,,,,,,,,,,financial resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meet ed-demand,,,,,,,,,,,,,,,,
num of graduates,,,,2,,,2,,,2,,,,,,6,,,,,,collaboration networks,1,,1,,,,,,,,,,,,,,,,,,,,,,full-time education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft products,,,,,,,,,,,,,,,,
num of students per teachers,1,1,,,,,,,,,,,,,,2,,,,,,enrollments in techical education,1,,1,,,,,,,,,,,,,,,,,,,,,,functional illiterates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num of access,,,,,,,,,,,,,,,,
num of subscription for training,,,,4,,3,1,,,1,,,,,,9,,,,,,external assessments,,1,1,,,,,,,,,,,,,,,,,,,,,,guidelines for digital resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num of downloads,,,,,,,,,,,,,,,,
number of courses in higher education,1,1,,,,,,,,,,,,,,2,,,,,,guidelines for digital resources,,1,1,,,,,,,,,,,,,,,,,,,,,,healtly programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num of graduates,,,,,,,,,,,,,,,,
open-source software,1,,1,,,,,,,,,,,,,2,,,,,,incentivate parents participation,,1,1,,,,,,,,,,,,,,,,,,,,,,incentivate parents participation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num of students per teachers,,,,,,,,,,,,,,,,
paper-based material,,,,6,,,6,4,1,,1,,,,,18,,,,,,interactive materials,,1,1,,,,,,,,,,,,,,,,,,,,,,individual actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num of subscription for training,,,,,,,,,,,,,,,,
participation in national assessment,4,,4,,,,,,,,,,,,,8,,,,,,num of students per teachers,1,,1,,,,,,,,,,,,,,,,,,,,,,innovative pedag practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of courses in higher education,,,,,,,,,,,,,,,,
partnership for learning content,,,,2,,,2,1,1,,,1,,,1,8,,,,,,number of courses in higher education,1,,1,,,,,,,,,,,,,,,,,,,,,,internet infrastructure in schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open-source software,,,,,,,,,,,,,,,,
partnership with international agencies,3,,3,1,,,1,1,,,,,,,,9,,,,,,open-source software,,1,1,,,,,,,,,,,,,,,,,,,,,,L2 education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paper-based material,,,,,,,,,,,,,,,,
partnership with private institutions,5,,5,5,,,5,3,,2,,,,,,25,,,,,,public investment,1,,1,,,,,,,,,,,,,,,,,,,,,,labs/environments for schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participation in national assessment,,,,,,,,,,,,,,,,
partnership with public institutions,15,,15,1,,,1,,,,1,1,1,1,1,37,,,,,,school time/permance,1,,1,,,,,,,,,,,,,,,,,,,,,,learning in right age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partnership with international agencies,,,,,,,,,,,,,,,,
physical school infrastructure,11,2,9,,,,,,,,,,,,,22,,,,,,social assistance,,1,1,,,,,,,,,,,,,,,,,,,,,,literacy education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partnership with private institutions,,,,,,,,,,,,,,,,
public investment,1,1,,,,,,,,,,,,,,2,,,,,,student engagement,1,,1,,,,,,,,,,,,,,,,,,,,,,mechanism for school permance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical school infrastructure,,,,,,,,,,,,,,,,
quality parameters,3,,3,,,,,,,,,,,,,6,,,,,,conceptualization of remote learning,,,,,,,,,,,,,,,,,,,,,,,,,meet ed-demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public investment,,,,,,,,,,,,,,,,
reestructuring learning content,5,,5,,,,,,,,,,,,,10,,,,,,ed-tech adoption,,,,,,,,,,,,,,,,,,,,,,,,,num of students per teachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quality parameters,,,,,,,,,,,,,,,,
school attendance (freq),8,5,3,,,,,,,,,,,,,16,,,,,,education radio,,,,,,,,,,,,,,,,,,,,,,,,,number of courses in higher education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reestructuring learning content,,,,,,,,,,,,,,,,
school feeding program,,,,1,,,1,1,,,,,,,,3,,,,,,education TV,,,,,,,,,,,,,,,,,,,,,,,,,open-source software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school attendance (freq),,,,,,,,,,,,,,,,
school health resources,,,,,,,,,,,,1,1,1,1,4,,,,,,equipment for students,,,,,,,,,,,,,,,,,,,,,,,,,participation in national assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school feeding program,,,,,,,,,,,,,,,,
school time/permance,1,1,,,,,,,,,,,,,,2,,,,,,everyone learning,,,,,,,,,,,,,,,,,,,,,,,,,physical school infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school time/permance,,,,,,,,,,,,,,,,
schooling teacher levels,2,2,,,,,,,,,,,,,,4,,,,,,free Internet access,,,,,,,,,,,,,,,,,,,,,,,,,public investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schooling teacher levels,,,,,,,,,,,,,,,,
schools actions reports,3,,3,6,1,6,,,,,,1,1,1,1,23,,,,,,Google products,,,,,,,,,,,,,,,,,,,,,,,,,quality parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplify bureacreatic process,,,,,,,,,,,,,,,,
simplify bureacreatic process,2,,2,,,,,,,,,,,,,4,,,,,,guidelines to remote learning,,,,,,,,,,,,,,,,,,,,,,,,,reestructuring learning content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social assistance,,,,,,,,,,,,,,,,
social assistance,1,,1,,,,,,,,,,,,,2,,,,,,learning mobile apps,,,,,,,,,,,,,,,,,,,,,,,,,school attendance (freq),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social competences,,,,,,,,,,,,,,,,
social competences,,,,1,,1,,,,,,,,,,2,,,,,,media access,,,,,,,,,,,,,,,,,,,,,,,,,school health resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social media,,,,,,,,,,,,,,,,
social media,,,,2,,,2,1,,,1,,,,,6,,,,,,Microsoft products,,,,,,,,,,,,,,,,,,,,,,,,,school time/permance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social/equality program,,,,,,,,,,,,,,,,
social/equality program,29,1,28,,,,,,,,,,,,,58,,,,,,num of access,,,,,,,,,,,,,,,,,,,,,,,,,schooling teacher levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEAM courses,,,,,,,,,,,,,,,,
STEAM courses,3,,3,,,,,,,,,,,,,6,,,,,,num of downloads,,,,,,,,,,,,,,,,,,,,,,,,,simplify bureacreatic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student engagement,,,,,,,,,,,,,,,,
student engagement,1,1,,,,,,,,,,,,,,2,,,,,,num of graduates,,,,,,,,,,,,,,,,,,,,,,,,,social assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student graduation,,,,,,,,,,,,,,,,
student graduation,3,,3,,,,,,,,,,,,,6,,,,,,num of subscription for training,,,,,,,,,,,,,,,,,,,,,,,,,social/equality program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,target-population,,,,,,,,,,,,,,,,
target-population,2,,2,,,,,,,,,,,,,4,,,,,,paper-based material,,,,,,,,,,,,,,,,,,,,,,,,,STEAM courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teacher career,,,,,,,,,,,,,,,,
teacher career,11,3,8,,,,,,,,,,,,,22,,,,,,partnership for learning content,,,,,,,,,,,,,,,,,,,,,,,,,student engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology in pedag practices,,,,,,,,,,,,,,,,
technology in pedag practices,8,2,6,,,,,,,,,,,,,16,,,,,,school feeding program,,,,,,,,,,,,,,,,,,,,,,,,,student graduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training event,,,,,,,,,,,,,,,,
training event,2,,2,8,1,1,6,1,,4,1,,,,,26,,,,,,school health resources,,,,,,,,,,,,,,,,,,,,,,,,,target-population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training groups,,,,,,,,,,,,,,,,
training groups,,,,4,1,1,2,1,,1,,,,,,10,,,,,,social competences,,,,,,,,,,,,,,,,,,,,,,,,,teacher career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training in digital resources,,,,,,,,,,,,,,,,
training in digital resources,3,2,1,,,,,,,,,,,,,6,,,,,,social media,,,,,,,,,,,,,,,,,,,,,,,,,technology in pedag practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training in education management,,,,,,,,,,,,,,,,
training in education management,5,,5,,,,,,,,,,,,,10,,,,,,training groups,,,,,,,,,,,,,,,,,,,,,,,,,training in digital resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training in teaching literacy,,,,,,,,,,,,,,,,
training in innovative pedagogical practices,4,2,2,3,1,,2,,,1,1,1,1,,,18,,,,,,training material,,,,,,,,,,,,,,,,,,,,,,,,,training in education management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training material,,,,,,,,,,,,,,,,
training in teaching literacy,3,1,2,,,,,,,,,,,,,6,,,,,,video/livestream platforms,,,,,,,,,,,,,,,,,,,,,,,,,training in teaching literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,video/livestream platforms,,,,,,,,,,,,,,,,
training material,,,,3,,,3,1,,2,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trainning courses,11,1,10,14,1,2,11,3,1,7,,1,,,1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video/livestream platforms,,,,4,,,4,2,,1,1,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,333,84,249,173,18,33,123,41,23,28,31,32,13,9,20,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
